ts_ns,event,side,price,qty
1714000000000000000,clear,,,
1714000000000000000,level,B,99.99,210
1714000000000000000,level,S,100.01,100
1714000000000000000,level,B,99.98,260
1714000000000000000,level,S,100.02,40
1714000000000000000,level,B,99.97,50
1714000000000000000,level,S,100.03,350
1714000000000000000,level,B,99.96,70
1714000000000000000,level,S,100.04,240
1714000000000000000,level,B,99.95,380
1714000000000000000,level,S,100.05,40
1714000000050000000,trade,B,100.02,20
1714000000100000000,clear,,,
1714000000100000000,level,B,100.00,40
1714000000100000000,level,S,100.02,370
1714000000100000000,level,B,99.99,80
1714000000100000000,level,S,100.03,150
1714000000100000000,level,B,99.98,380
1714000000100000000,level,S,100.04,40
1714000000100000000,level,B,99.97,370
1714000000100000000,level,S,100.05,380
1714000000100000000,level,B,99.96,260
1714000000100000000,level,S,100.06,40
1714000000150000000,trade,B,100.02,70
1714000000200000000,clear,,,
1714000000200000000,level,B,99.99,370
1714000000200000000,level,S,100.01,200
1714000000200000000,level,B,99.98,360
1714000000200000000,level,S,100.02,120
1714000000200000000,level,B,99.97,70
1714000000200000000,level,S,100.03,380
1714000000200000000,level,B,99.96,370
1714000000200000000,level,S,100.04,130
1714000000200000000,level,B,99.95,240
1714000000200000000,level,S,100.05,70
1714000000250000000,trade,B,100.01,80
1714000000300000000,trade,S,99.99,80
1714000000350000000,trade,B,100.01,40
1714000000400000000,clear,,,
1714000000400000000,level,B,100.00,340
1714000000400000000,level,S,100.02,320
1714000000400000000,level,B,99.99,220
1714000000400000000,level,S,100.03,290
1714000000400000000,level,B,99.98,190
1714000000400000000,level,S,100.04,390
1714000000400000000,level,B,99.97,50
1714000000400000000,level,S,100.05,80
1714000000400000000,level,B,99.96,330
1714000000400000000,level,S,100.06,270
1714000000450000000,clear,,,
1714000000450000000,level,B,100.01,100
1714000000450000000,level,S,100.03,320
1714000000450000000,level,B,100.00,270
1714000000450000000,level,S,100.04,30
1714000000450000000,level,B,99.99,50
1714000000450000000,level,S,100.05,360
1714000000450000000,level,B,99.98,370
1714000000450000000,level,S,100.06,210
1714000000450000000,level,B,99.97,220
1714000000450000000,level,S,100.07,230
1714000000500000000,trade,S,100.00,50
1714000000550000000,trade,B,100.04,100
1714000000600000000,trade,S,100.01,60
1714000000650000000,clear,,,
1714000000650000000,level,B,100.02,230
1714000000650000000,level,S,100.04,110
1714000000650000000,level,B,100.01,400
1714000000650000000,level,S,100.05,80
1714000000650000000,level,B,100.00,320
1714000000650000000,level,S,100.06,40
1714000000650000000,level,B,99.99,140
1714000000650000000,level,S,100.07,190
1714000000650000000,level,B,99.98,90
1714000000650000000,level,S,100.08,160
1714000000700000000,trade,S,100.01,90
1714000000750000000,clear,,,
1714000000750000000,level,B,100.01,280
1714000000750000000,level,S,100.03,360
